Index,Height(Inches),Weight(Pounds),Standardize,,,,Average,Stdev.P,,,,,
1,65.78331,112.9925,-1.20807192,,,,127.0794212,11.66066434,,,,,
2,71.51521,136.4873,0.806804704,,,,,,,,,,
3,69.39874,153.0269,2.225214454,,,,,,,,,,
4,68.2166,142.3354,1.308328444,,,,,,,,,,
5,67.78781,144.2971,1.476560711,,,,Count,,,,,,
6,68.69784,123.3024,-0.323911318,,,,Sign,Num in 1SD,Num in 2SDs,Num in 3SDs,Column1,Num in 2SDs2,Num in 3SDs2
7,69.80204,141.4947,1.236231351,,,,-,17130,11852,8513,8617,11968,12525
8,70.01472,136.4623,0.804660743,,,,+,12405,47.408,34.052,34.468,47.872,50.1
9,67.90265,112.3723,-1.261259284,,,,,,,,,,
10,66.78236,120.6672,-0.549901873,,,,,,,,,,
11,66.48769,127.4516,0.031917464,,,,,,,,,,
12,67.62333,114.143,-1.109406873,,,,,,,,,,
13,68.30248,125.6107,-0.125955187,,,,,,,,,,
14,67.11656,122.4618,-0.395999835,,,,,,,,,,
15,68.27967,116.0866,-0.942726832,,,,,,,,,,
16,71.0916,139.9975,1.107833864,,,,,,,,,,
17,66.461,129.5023,0.20778223,,,,,,,,,,
18,68.64927,142.9733,1.363033732,,,,,,,,,,
19,71.23033,137.9025,0.928170001,,,,,,,,,,
20,67.13118,124.0449,-0.260235701,,,,,,,,,,
21,67.83379,141.2807,1.217879052,,,,,,,,,,
22,68.87881,143.5392,1.411564415,,,,,,,,,,
23,63.48115,97.90191,-2.502216881,,,,,,,,,,
24,68.42187,129.5027,0.207816533,,,,,,,,,,
25,67.62804,141.8501,1.266709889,,,,,,,,,,
26,67.20864,129.7244,0.226829172,,,,,,,,,,
27,70.84235,142.4235,1.31588376,,,,,,,,,,
28,67.49434,131.5502,0.383406872,,,,,,,,,,
29,66.53401,108.3324,-1.607714673,,,,,,,,,,
30,65.44098,113.8922,-1.130915081,,,,,,,,,,
31,69.5233,103.3016,-2.039148067,,,,,,,,,,
32,65.8132,120.7536,-0.542492346,,,,,,,,,,
33,67.8163,125.7886,-0.110698767,,,,,,,,,,
34,70.59505,136.2225,0.784095877,,,,,,,,,,
35,71.80484,140.1015,1.116752739,,,,,,,,,,
36,69.20613,128.7487,0.143154694,,,,,,,,,,
37,66.80368,141.7994,1.262361938,,,,,,,,,,
38,67.65893,121.2319,-0.5014741,,,,,,,,,,
39,67.80701,131.3478,0.36604937,,,,,,,,,,
40,64.04535,106.7115,-1.746720475,,,,,,,,,,
41,68.57463,124.3598,-0.233230379,,,,,,,,,,
42,65.18357,124.8591,-0.190411206,,,,,,,,,,
43,69.65814,139.6711,1.07984232,0.8577,,,,,,,,,
44,67.96731,137.3696,0.882469346,,,,,,,,,,
45,65.98088,106.4499,-1.769154874,,,,,,,,,,
46,68.67249,128.7639,0.144458222,,,,,,,,,,
47,66.88088,145.6837,1.595473319,,,,,,,,,,
48,67.69868,116.819,-0.879917375,,,,,,,,,,
49,69.82117,143.6215,1.418622332,,,,,,,,,,
50,69.08817,134.9325,0.673467532,,,,,,,,,,
51,69.91479,147.0219,1.710235219,,,,,,,,,,
52,67.33182,126.3285,-0.064397803,,,,,,,,,,
53,70.26939,125.4839,-0.136829353,,,,,,,,,,
54,69.10344,115.7084,-0.975160662,,,,,,,,,,
55,65.38356,123.4892,-0.307891648,,,,,,,,,,
56,70.18447,147.8926,1.784905064,,,,,,,,,,
57,70.40617,155.8987,2.471495447,,,,,,,,,,
58,66.54376,128.0742,0.085310649,,,,,,,,,,
59,66.36418,119.3701,-0.661139103,,,,,,,,,,
60,67.537,133.8148,0.577615361,,,,,,,,,,
61,66.50418,128.7325,0.141765408,,,,,,,,,,
62,68.99958,137.5453,0.897537098,,,,,,,,,,
63,68.30355,129.7604,0.229916475,,,,,,,,,,
64,67.01255,128.824,0.149612302,,,,,,,,,,
65,70.80592,135.3165,0.706398761,,,,,,,,,,
66,68.21951,109.6113,-1.498038246,,,,,,,,,,
67,69.05914,142.4684,1.319734312,,,,,,,,,,
68,67.73103,132.749,0.48621405,,,,,,,,,,
69,67.21568,103.5275,-2.019775243,,,,,,,,,,
70,67.36763,124.7299,-0.201491192,,,,,,,,,,
71,65.27033,129.3137,0.191608194,,,,,,,,,,
72,70.84278,134.0175,0.59499859,,,,,,,,,,
73,69.92442,140.3969,1.142085772,,,,,,,,,,
74,64.28508,102.8351,-2.079154364,,,,,,,,,,
75,68.2452,128.5214,0.123661808,,,,,,,,,,
